	Bandpower Delta	Bandpower Theta	Bandpower Alpha	Bandpower Beta	Bandpower Gamma	Error Delta	Error Theta	Error Alpha	Error Beta	Error Gamma	std_dev	autocorr	type
0	0.5291043996237851	0.24218831643849933	0.12148604869892361	0.07963214546974606	0.027589089769045876	1.1218	3.4894	2.7458	0.5835	-0.2983	16.001447661722796	42443.32891240495	normal
1	0.7158990407510715	0.1659296550785768	0.04571739574120688	0.050343560786448055	0.022110347642696784	0.3847	0.2687	-0.7194	-0.7522	-0.9401	46.69510599558121	621087.8229187976	normal
2	0.7190736904409589	0.14871263687481506	0.05548978987866233	0.04957087895827168	0.027153003847292103	-0.1588	-0.2515	-0.5635	-0.9347	-0.5468	5.857183861310477	9433.892903903388	normal
3	0.6189745164261591	0.16911268038071844	0.09155664722136937	0.08210009210930305	0.03825606386245011	0.0344	0.8293	1.0149	-0.094	0.5604	63.06806876860696	880977.8434346117	normal
4	0.47200852720363334	0.1331448697747706	0.1362962276392622	0.1677634627861711	0.09078691259616276	0.3254	0.7987	4.128	4.2804	5.7093	10.980932187581615	20421.993132706524	normal
5	0.7131653381331962	0.11256106968372331	0.05914116739521728	0.07791205965543842	0.037220365132424785	0.8678	-0.7412	-0.1394	-0.0898	0.1111	45.95863772648295	517298.2074974985	normal
6	0.7508939213349225	0.1430274135876043	0.03972983710766786	0.04794067010991922	0.018408157859886108	1.2847	-0.1823	-0.8448	-0.8271	-1.0682	80.05580454120553	1618664.2751523268	normal
7	0.7987465181058497	0.1146703806870938	0.03350355926957599	0.032884555865057265	0.020194986072423402	0.1741	-1.1446	-1.2179	-1.1333	-1.0447	170.28862975580478	9551983.570544112	normal
8	0.507185906351414	0.1125985164580436	0.15554010199350954	0.1863120074177098	0.03836346777932313	-0.9022	-0.4041	3.7672	2.3778	0.5213	32.29289551387113	257438.0289214314	normal
9	0.5596499809772271	0.18359693461601173	0.09092885482906679	0.09310288602641448	0.07272134355127996	0.3689	1.5443	1.3937	1.2781	4.0592	31.598176490095387	234841.35720086045	normal
10	0.4378541076487251	0.22162712464589235	0.1154833569405099	0.16240262039660056	0.06263279036827193	0.8455	3.9945	2.9568	6.8896	3.9099	44.78125540860848	356564.17563557776	normal
11	0.6565126050420168	0.16143644957983194	0.05022321428571429	0.09683560924369748	0.034992121848739496	0.1529	0.3133	-0.5014	1.0775	-0.1051	37.089773142460565	348713.9876152791	normal
12	0.7120545222206446	0.1405651000993895	0.046074116143688774	0.06403521226749966	0.037271049268777515	0.0076	-0.4242	-0.765	-0.0326	0.0652	42.36897523732799	468318.5286013547	normal
13	0.2250512895662368	0.1661415592028136	0.28015093786635403	0.28337485345838215	0.04528135990621336	-1.8976	3.5633	14.6206	9.0926	2.2382	14.061897107740311	33256.133004518364	normal
14	0.5771321780496093	0.2035338090383962	0.09904858987427796	0.08126628157209197	0.03901914146562465	0.2241	1.9793	1.3817	0.2309	0.5591	30.732982092274135	216979.55586792505	normal
