	Bandpower Delta	Bandpower Theta	Bandpower Alpha	Bandpower Beta	Bandpower Gamma	Error Delta	Error Theta	Error Alpha	Error Beta	Error Gamma	std_dev	autocorr	type
0	0.5496256263018634	0.27551652310983504	0.09221415301469346	0.059224230141304963	0.023419467432303102	0.6535	3.5245	1.3141	-0.2018	-0.6177	18.77191931929038	50291.134502699795	normal
1	0.4802943251688338	0.16082048180626954	0.19226892450357827	0.128011289184558	0.03860497933676041	-0.2307	1.3264	6.2607	2.2098	0.5209	12.637419919985925	23457.30765862573	normal
2	0.7012163222600052	0.18728747057284853	0.04479466387653675	0.04459848286685848	0.022103060423750976	0.4839	0.833	-0.6419	-0.78	-0.8469	47.8778633334854	464602.9415373619	normal
3	0.7316740783244872	0.1440252474537369	0.04633481566489743	0.05601778797876918	0.021948070578109307	0.1338	-0.3116	-0.7522	-0.6274	-0.9533	45.48147197842982	472369.38027883344	normal
4	0.7125774699234416	0.16609551585854906	0.055997083485235154	0.04112285818446957	0.02420707254830478	0.041	0.1902	-0.5001	-1.0253	-0.6403	6.3241828774826745	8181.751246673092	normal
5	0.7333741018192937	0.12169393059165265	0.05335575600061153	0.060694083473475	0.030882128114967128	-0.1361	-0.8032	-0.6014	-0.6582	-0.3321	5.349566009968204	5940.781485550995	normal
6	0.5734282466949812	0.15654722737333254	0.08572112221092303	0.1467368546988096	0.0375665490219537	-0.1641	0.5864	0.9365	1.7331	0.0862	43.03355522558406	322562.45702602423	normal
7	0.6367150963397143	0.16998191681735988	0.09147596183824905	0.06304171603167674	0.03878530897299994	0.1983	0.7612	1.0535	-0.5613	0.7587	78.12346044677099	966968.947707517	normal
8	0.43052266576454673	0.14191474966170503	0.16453822733423548	0.17244587280108256	0.09057848443843032	0.3072	1.3829	6.1367	4.6308	6.2334	10.763321548725324	13095.735446195304	normal
9	0.5116037588910234	0.12735579668760708	0.10944395410414828	0.1612585016354291	0.09033798868179221	0.0769	0.1469	2.609	3.238	5.0778	11.194090910344654	17908.31602029243	normal
10	0.7690978223297615	0.09664707915658487	0.03836847563083305	0.057725544417559636	0.03816107846526098	0.7597	-1.0865	-0.8731	-0.5163	0.0329	45.741669978516484	393929.4312034819	normal
11	0.6642922935216458	0.12410193429536384	0.07835431378569235	0.09702179920171938	0.03622965919557875	0.3958	-0.3646	0.6924	0.353	0.2369	46.17430103659845	355926.79395197914	normal
12	0.6859088399484694	0.18084780074842033	0.05631556346236427	0.053554996625973864	0.0233727992147721	1.0904	0.9034	-0.2144	-0.5091	-0.6498	71.10239300072352	929466.2306370875	normal
13	0.7914998243765367	0.11977520196698278	0.029715489989462586	0.0440463645943098	0.01496311907270811	0.7278	-0.7816	-1.1285	-0.9167	-1.2427	88.10386141889899	1564459.152551128	normal
14	0.8691202872531418	0.0973967684021544	0.015529622980251347	0.011669658886894077	0.006283662477558349	-0.1641	-1.578	-1.7185	-1.7204	-1.7028	158.08384885542463	6110722.3047791775	normal
15	0.7553475935828877	0.12158739093723617	0.04587672389529975	0.04742471151139883	0.029763580073177597	0.4763	-0.6756	-0.7258	-0.4772	-0.3889	181.67522833162505	6925139.372029363	normal
16	0.5503428827789528	0.09222585400243544	0.11613151317054414	0.19688521438184967	0.044414535666218044	-0.6975	-1.0376	1.9875	2.1973	0.6965	32.177155101460855	192902.86310866315	normal
17	0.4682833845176321	0.13316742560626918	0.1951180768823467	0.1718733453351689	0.03155776765858308	-0.5301	0.5014	6.0566	2.2644	0.3199	32.406103307373336	167313.33636602855	normal
18	0.6442033123929184	0.15521289421917633	0.06294815660892188	0.07671806586712354	0.06091757091185989	0.0214	0.1722	-0.0163	0.2887	2.2928	30.867712994395784	185158.86607704035	normal
19	0.48724941390364096	0.2046313573513229	0.1173628056073872	0.10769819625855222	0.0830582268790967	0.4635	2.5797	3.1625	2.0736	6.0914	32.31205122616459	141357.42996551	normal
20	0.4775372775372775	0.22607022607022603	0.09494949494949494	0.14107744107744108	0.06036556036556036	0.4844	3.1572	1.8385	3.5985	3.2071	41.4792729426963	249088.01320771404	normal
21	0.4094045489394326	0.21948206831927758	0.1309310844194565	0.1756112104949314	0.06457108782690178	0.5644	3.8342	3.9489	7.7439	4.429	47.85593903753561	271287.21693942935	normal
22	0.6262061960385983	0.1796597257491112	0.05396140172676486	0.10290756729304215	0.0372651091924835	0.02	0.8459	-0.2897	1.0407	0.1375	35.81069266975856	195186.37393624475	normal
23	0.6856060606060606	0.14309764309764306	0.046857463524130186	0.09118967452300784	0.033249158249158244	0.1434	-0.2824	-0.6484	0.8389	-0.2539	38.31643489878961	279413.7517199777	normal
24	0.6801902428478778	0.16278734596814873	0.049290192404698424	0.06845860056208114	0.03927361821719392	-0.3549	-0.0069	-0.6406	-0.0903	0.1731	39.77985123901448	285336.2792170842	normal
25	0.7447318703676792	0.11815143147798286	0.0429443394855399	0.05893038802499637	0.03524197064380178	0.279	-0.848	-0.8525	-0.113	-0.0032	44.808253341905754	358527.5765489623	normal
26	0.21072281959378736	0.14796146953405018	0.31085722819593786	0.28449820788530467	0.04596027479091996	-1.7724	2.5319	16.4401	8.2553	2.3206	13.942338079212945	27828.99906797257	normal
27	0.23430962343096232	0.17576892020847096	0.26172649196212283	0.28316083094766203	0.04503413345078176	-1.4452	3.7754	13.889	8.7725	2.2058	14.180434907630476	20595.7462281603	normal
28	0.5419884430523303	0.21153534589836365	0.10547064859318464	0.09861208619106766	0.04239347626505373	0.0465	2.2962	1.9131	0.8008	0.9737	30.101349643231963	140568.10071114116	normal
29	0.6060355029585798	0.19816568047337274	0.09396449704142011	0.0665680473372781	0.03526627218934911	0.2597	1.6032	1.0717	-0.2101	0.2631	31.3496222278228	177774.98279227645	normal
30	0.6207536662335251	0.15302270899078024	0.12610605779345335	0.07456221768454921	0.025555349297691973	0.0594	0.3193	1.8843	0.056	-0.4946	55.415502379062424	570595.5842610614	normal
31	0.6252866803881211	0.18482799176712733	0.10291090855630697	0.06521611290796825	0.02175830638047633	0.3731	1.1524	1.3484	-0.0882	-0.6777	55.92394527216254	612890.2682674995	normal
32	0.6871623164142759	0.08713187733049235	0.09595921162773	0.0999923902290541	0.029754204398447608	-0.3897	-1.3736	0.59	-0.0552	-0.568	62.69561431307464	930224.9995845422	normal
33	0.6808877558671366	0.0966484216840369	0.10834520506860613	0.0899752568043788	0.024143360575841644	-0.4228	-1.1542	0.943	-0.2505	-0.7702	60.87787394831203	776074.5070539168	normal
34	0.4985857395403654	0.17631113730111966	0.1622274602239246	0.14938126104890986	0.013494401885680614	-0.6055	1.1869	3.9634	1.3859	-1.2216	69.49476922193347	902082.3516282695	normal
35	0.4636611583507139	0.22001176533504463	0.15722765923311405	0.1396866142574469	0.01941280282368041	-0.3788	2.501	4.491	1.5398	-0.6821	56.309637793467445	529349.083923933	normal
36	0.2933370305815243	0.1466487086040247	0.2915544287751545	0.247940104579306	0.02051972745999049	-1.0191	2.4379	13.7523	5.8938	-0.1562	66.32779011454211	512461.21609716583	normal
37	0.4021650140998817	0.15468934776676066	0.23373965250614023	0.17624852178659145	0.03315746384062585	-0.4381	1.6031	9.765	3.1291	0.6921	56.473103800636665	438279.6073545925	normal
38	0.6367486889874949	0.1471023262068038	0.06286136883151808	0.11106629017076779	0.04222132580341535	0.1462	-0.0967	0.0146	0.3853	0.5838	32.07000696102602	195361.42648631294	normal
39	0.6524274389045405	0.15770163139618687	0.0627006486273996	0.0873353862281334	0.03983489484373977	0.3502	0.1413	-0.0309	0.0431	0.4872	33.29614464151902	157818.93309268766	normal
40	0.683954174384304	0.10530287439116415	0.06311312341359675	0.09604170954242985	0.05158811826850517	-0.0883	-0.9482	-0.1071	0.3477	1.07	35.4949432219478	225506.4954138844	normal
41	0.7390531703156099	0.10221779926073359	0.047696900767699744	0.073002558999147	0.03802957065680978	0.142	-1.0456	-0.6286	-0.2816	0.1729	38.39916946693024	272760.7048210303	normal
42	0.564875491480996	0.19349934469200525	0.10752293577981652	0.10269986893840105	0.03140235910878113	0.9225	1.9584	2.0449	0.6351	0.6077	53.30734586469209	407203.8560182485	normal
43	0.5603002774302345	0.2676385791220149	0.08578578034053201	0.06021868030245336	0.02605668280476527	0.6116	3.3712	0.9646	-0.3471	0.1359	56.1367970948414	471479.0605170768	normal
44	0.4979335333748514	0.12359168884108024	0.07241125516616657	0.17443242937213385	0.13163109324576802	-0.303	-0.2	0.7231	3.4304	6.4696	15.180458655127854	36140.687465717405	normal
45	0.44375153449545784	0.13503560029462314	0.10267616007856616	0.20363368524429165	0.11490301988706113	-0.2873	0.5667	2.599	5.047	6.4663	15.136726533413182	30896.405052937767	normal
46	0.411472164550239	0.14098788083627056	0.09622905702283811	0.28221717927671286	0.06909371831393946	-0.2708	0.7726	2.5121	6.0553	3.3606	65.23986535451851	605587.3416856047	normal
47	0.335623593699775	0.16706846673095468	0.10904853744776599	0.3282304725168756	0.06002892960462874	-0.6479	2.4145	4.2227	8.0698	3.4743	68.10163933164009	536615.6825175406	normal
48	0.5357521186440678	0.15135063559322035	0.05051641949152543	0.17664194915254236	0.08573887711864407	-0.7198	-0.1663	-0.3272	2.1289	3.7642	54.87589140037602	662040.729991616	normal
49	0.5918471990770414	0.12979105242917574	0.05582617613126522	0.15049352647096526	0.07204204589155236	-0.3005	-0.3947	-0.0783	1.4787	2.8269	59.43460763085823	679703.1023115485	normal
50	0.6199185539758519	0.21904693862970634	0.04108023147817389	0.07894548831892548	0.041008787597342285	-0.3556	0.8045	-0.8786	-0.2985	0.4549	129.8326542320086	3700114.906826834	normal
51	0.6332091746716331	0.1849310592694243	0.0558060511010913	0.08874076978370256	0.03731294517414886	0.0267	0.6033	-0.2981	-0.0849	0.5689	129.53041172081913	3106517.9420721144	normal
52	0.3510025351463471	0.27822078820004614	0.15671813781977417	0.19663516939386957	0.017423369439963126	-1.0989	6.2184	4.7093	3.0174	-0.7929	41.04702428109298	231682.44225774464	normal
53	0.506188180327054	0.20005964511158608	0.10234107062975298	0.17356727471544314	0.01784382921616383	0.0765	2.7078	2.1554	2.1696	-0.8552	40.34460123324133	222171.16305125522	normal
54	0.8567820773930754	0.08822810590631364	0.015397148676171079	0.022647657841140527	0.016945010183299386	0.2297	-1.597	-1.6618	-1.4567	-1.1145	27.2529020045082	139078.4375677908	normal
55	0.8041600268388828	0.11188459280382453	0.02071626268556571	0.03673572087561855	0.026503396796108362	0.0622	-1.2477	-1.5305	-1.2052	-0.6366	23.854211714502522	129685.22872387775	normal
56	0.5551216751556309	0.1780418788907753	0.07764572722127899	0.13604980192416524	0.0531409168081494	0.5064	1.111	0.9985	1.8869	1.5057	42.36254277536795	296106.4559109903	normal
